SEQN,RIAGENDR,RIDAGEYR,WTINT2YR,WTMEC2YR
62161.0,1.0,22.0,102641.406474,104236.582554
62162.0,2.0,3.0,15457.736897,16116.35401
62163.0,1.0,14.0,7397.684828,7869.485117
62164.0,2.0,44.0,127351.373299,127965.226204
62165.0,2.0,14.0,12209.74498,13384.042162
62166.0,1.0,9.0,60593.636684,64068.123183
62167.0,1.0,5.397605346934028e-79,5024.464768,5303.683185
62168.0,1.0,6.0,5897.024603,6245.043868
62169.0,1.0,21.0,14391.77847,14783.600953
62170.0,1.0,15.0,7794.52699,8291.636582
62171.0,1.0,14.0,22768.423624,22886.980387
62172.0,2.0,43.0,26960.774346,27122.911908
62173.0,2.0,2.0,11401.934012,12203.058423
62174.0,1.0,80.0,24912.668432,27335.895242
62175.0,1.0,5.0,26980.605125,30440.534478
62176.0,2.0,34.0,53830.599426,54203.155016
62177.0,1.0,51.0,7879.750437,7851.284287
62178.0,1.0,80.0,12291.154515,13189.875012
62179.0,1.0,55.0,16590.074977,17115.36835
62180.0,1.0,35.0,20457.614917,22616.494827
62181.0,1.0,9.0,13822.148996,14860.201344
62182.0,1.0,75.0,63069.107216,5.397605346934028e-79
62183.0,1.0,6.0,10138.00454,10211.52145
62184.0,1.0,26.0,15600.678771,15236.26157
62185.0,1.0,16.0,18635.323223,19040.145288
62186.0,2.0,17.0,11224.041366,11682.365019
62187.0,2.0,9.0,10118.363218,11093.371216
62188.0,1.0,2.0,11793.948458,12167.27893
62189.0,2.0,30.0,17983.231494,18657.922524
62190.0,2.0,15.0,20419.465237,21192.774678
62191.0,1.0,70.0,8661.769277,9105.621464
62192.0,2.0,11.0,14087.469432,14372.406512
62193.0,1.0,17.0,11386.695644,11908.648036
62194.0,2.0,9.0,36778.822436,37956.900598
62195.0,1.0,35.0,15842.100091,16468.990083
62196.0,1.0,1.0,35830.680775,40425.523018
62197.0,2.0,16.0,20015.720245,20424.69013
62198.0,1.0,7.0,30754.608672,32212.772113
62199.0,1.0,57.0,127000.852889,130891.431194
62200.0,1.0,42.0,19184.316833,20543.822351
62201.0,2.0,58.0,19442.276314,5.397605346934028e-79
62202.0,1.0,36.0,41155.167164,40844.556107
62203.0,1.0,8.0,11324.954668,11525.075349
62204.0,2.0,9.0,5585.02957,5.397605346934028e-79
62205.0,1.0,28.0,103663.693967,105583.964573
62206.0,2.0,35.0,67177.369911,67642.297015
62207.0,1.0,5.397605346934028e-79,6988.613752,7730.080563
62208.0,1.0,38.0,41241.224595,41216.943466
62209.0,2.0,62.0,13473.304889,14578.166065
62210.0,1.0,15.0,100370.520459,102294.664852
62211.0,2.0,63.0,16352.915834,5.397605346934028e-79
62212.0,2.0,8.0,9465.598219,5.397605346934028e-79
62213.0,1.0,2.0,5422.375171,5488.513785
62214.0,2.0,22.0,18723.98095,21433.166124
62215.0,2.0,65.0,129999.035519,129559.2554
62216.0,1.0,5.397605346934028e-79,19442.488468,19106.370101
62217.0,2.0,77.0,15730.58404,17568.357111
62218.0,2.0,38.0,39534.635218,41046.564195
62219.0,2.0,2.0,11582.174418,11621.723611
62220.0,2.0,31.0,33193.038733,33538.564898
62221.0,2.0,41.0,25818.768393,25697.012112
62222.0,1.0,32.0,89973.129052,97483.088567
62223.0,1.0,54.0,10133.862484,12107.78442
62224.0,2.0,29.0,43986.779369,46449.619953
62225.0,2.0,13.0,24481.187693,25761.611656
62226.0,1.0,80.0,13654.270555,13892.295449
62227.0,1.0,19.0,68701.580401,72973.564721
62228.0,1.0,50.0,144353.133634,144729.952645
62229.0,2.0,31.0,72426.980535,75980.145152
62230.0,1.0,75.0,12946.818038,13703.92145
62231.0,2.0,48.0,43535.993088,52686.708499
62232.0,2.0,42.0,115926.402585,118970.086068
62233.0,2.0,63.0,10999.00871,11900.968385
62234.0,1.0,23.0,14860.312419,14555.816778
62235.0,2.0,2.0,49862.013993,55032.245455
62236.0,1.0,61.0,9048.959172,9513.611982
62237.0,2.0,58.0,140431.173819,139253.659476
62238.0,2.0,5.397605346934028e-79,20786.668002,20803.881706
62239.0,2.0,22.0,39426.061521,39254.343691
62240.0,2.0,14.0,26657.121865,28092.602686
62241.0,1.0,2.0,9237.934626,9897.780242
62242.0,1.0,24.0,129608.716834,132839.525748
62243.0,2.0,1.0,49862.013993,51432.868823
62244.0,1.0,1.0,14505.670599,14525.271178
62245.0,1.0,8.0,10810.913614,11522.32071
62246.0,2.0,5.397605346934028e-79,7210.38482,7501.352858
