feature,correlation,p_value,n_effective,test,weight_used
Still have asthma,0.5787181612242406,0.0,5586,Weighted Chi-Square,Interview
Asthma attack in past year,0.5053576856565182,0.0,5586,Weighted Chi-Square,Interview
Age when first had asthma,0.36556415907674505,0.0,5586,Weighted Pearson,Interview
Emergency care visit for asthma/past yr,0.27077456848525655,0.0,5586,Weighted Chi-Square,Interview
Eosinophils,0.11458366719440087,0.0,5616,Weighted Pearson,MEC
Age,0.10864485060066316,4.440892098500626e-16,5586,Weighted Pearson,Interview
Child was overweight,0.0867939219045989,0.0,606,Weighted Chi-Square,Interview
Shortness of breath on stairs,0.07099387213476045,0.0,5586,Weighted Chi-Square,Interview
Mother smoked when pregnant,0.0573342403787862,0.0,5586,Weighted Chi-Square,Interview
Gender,0.053521620870756716,0.0,5586,Weighted Chi-Square,Interview
